ds;Mixed_Models;Mixed_Models/BottomUp;Mixed_Models/TopDown_method-forecast_proportions;Mixed_Models/MiddleOut_middle_level-Total/Store_top_down_method-forecast_proportions;Mixed_Models/MinTrace_method-ols;Mixed_Models/MinTrace_method-wls_struct;Weekly_Sales
2012-09-14;1094469,2;1018410,4;1017467,94;1094469,2;1021345,75;1036084,6;960476,1
2012-09-21;1084966,8;989096,06;974966,5;1084966,8;980386,2;1010545,6;971386,6
2012-09-28;1084573,8;974699,0;990199,94;1084573,8;994722,8;1012229,0;1002869,06
2012-10-05;1080875,5;1045513,06;1063123,0;1080875,5;1063717,9;1059631,0;1092204,8
2012-10-12;1081043,0;1033270,6;1014139,0;1081043,0;1017247,3;1039936,75;1074080,0
2012-10-19;1079875,9;1048520,3;1016325,7;1079875,9;1019529,4;1048422,0;1048709,8
2012-10-26;1079769,8;1046680,75;1023655,8;1079769,8;1026522,3;1052170,1;1127527,8
2012-09-07;1615280,6;1538718,6;1585483,1;1615280,6;1595007,8;1568628,1;1497073,8
2012-09-14;1446181,5;1422829,8;1344435,5;1446181,5;1373811,5;1413851,0;1370653,4
2012-09-21;1445876,9;1360838,4;1299285,4;1445876,9;1341449,2;1376482,4;1338572,2
2012-09-28;1444967,6;1339245,6;1319234,2;1444967,6;1355180,2;1374443,5;1338299,0
2012-10-05;1447009,2;1422523,8;1423243,2;1447009,2;1430010,9;1431150,9;1408016,1
2012-10-12;1447353,1;1367483,2;1357778,8;1447353,1;1383095,5;1389945,0;1352809,5
2012-10-19;1446370,8;1364588,6;1361252,5;1446370,8;1385297,8;1389471,6;1321102,4
2012-10-26;1446446,1;1353053,4;1371276,5;1446446,1;1392333,0;1388531,9;1322136,0
2012-09-07;1923737,0;1911037,8;1888249,2;1923737,0;1904375,1;1908894,6;1898777,1
2012-09-14;1916252,4;1846426,9;1781434,6;1916252,4;1843217,9;1860385,9;1814806,6
2012-09-21;1918199,2;1783892,1;1723721,0;1918199,2;1813073,6;1823780,8;1829415,6
2012-09-28;1918568,9;1756733,8;1751625,1;1918568,9;1827994,4;1819732,1;1746470,5
2012-10-05;1925659,4;1876483,1;1894032,0;1925659,4;1908314,8;1897403,0;1998321,0
2012-10-12;1926669,4;1842658,0;1807431,0;1926669,4;1862356,6;1866937,1;1900745,1
2012-10-19;1925711,4;1835491,8;1812384,2;1925711,4;1864523,9;1864361,5;1847990,4
2012-10-26;1926086,0;1811597,8;1825990,2;1926086,0;1871683,8;1857461,6;1834458,4
2012-09-07;2208079,5;2102536,8;2167346,5;2208079,5;2187392,5;2146936,5;2080538,0
2012-09-14;2105748,0;2024474,6;1957598,2;2105748,0;2032550,6;2044456,9;2047988,0
2012-09-21;2120284,0;1943016,5;1905317,1;2120284,0;2014538,8;2004775,0;2028587,2
2012-09-28;2121195,5;1932846,4;1936620,4;2121195,5;2030227,6;2009357,8;2008388,4
2012-10-05;2113582,0;2084299,0;2078868,1;2113582,0;2096515,0;2095324,8;2246412,0
2012-10-12;2115176,5;2051359,0;1984271,6;2115176,5;2051148,2;2065794,5;2162996,2
2012-10-19;2114994,0;2045288,8;1990527,6;2114994,0;2054093,6;2064133,5;1999363,5
2012-10-26;2115675,8;2020171,0;2005727,4;2115675,8;2061532,4;2056705,8;2031654,5
2012-09-07;765975,2;723770,25;751845,0;765975,2;746173,44;736986,5;642850,25
2012-09-14;764019,4;696117,0;710266,8;764019,4;691017,5;710611,06;628494,6
2012-09-21;766844,6;693133,6;689097,44;766844,6;662605,6;704671,9;667151,44
2012-09-28;763895,56;668557,25;697425,44;763895,56;674251,44;699587,06;647097,6
2012-10-05;763207,2;685907,2;750672,1;763207,2;745402,0;721151,1;651768,94
2012-10-12;763884,9;686762,06;716609,3;763884,9;699655,2;708863,06;653043,44
2012-10-19;764041,2;698957,94;719077,75;764041,2;703203,06;716419,56;641368,1
2012-10-26;764378,5;703424,3;724654,94;764378,5;710722,3;723334,06;675202,9
2012-09-07;1026797,3;1013806,5;1007855,7;1026797,3;1007438,2;1012415,75;996628,8
2012-09-14;1030801,56;961952,6;958279,6;1030801,56;957785,3;976919,94;918049,3
2012-09-21;1036302,4;937800,75;931236,0;1036302,4;931687,75;961734,3;921613,06
2012-09-28;1036532,8;938535,56;946339,2;1036532,8;946848,44;970894,9;976479,5
2012-10-05;1033317,0;991354,9;1016345,7;1033317,0;1016047,25;1008930,0;1009911,4
2012-10-12;1033773,0;968761,1;969794,5;1033773,0;969726,8;984806,56;1004117,9
2012-10-19;1033614,3;973910,7;972786,6;1033614,3;972857,7;988682,44;978027,94
2012-10-26;1034114,56;999533,4;980373,25;1034114,56;980857,94;1006256,6;1094422,6
2012-09-07;1508510,9;1528269,8;1480682,9;1508510,9;1489630,5;1510261,5;1427162,2
2012-09-14;1553812,0;1412707,2;1444493,6;1553812,0;1479731,2;1463203,8;1279041,6
2012-09-21;1401338,8;1377368,2;1259262,9;1401338,8;1297817,4;1363257,1;1338627,5
2012-09-28;1402118,2;1349790,0;1280113,4;1402118,2;1313109,2;1358802,9;1319035,1
2012-10-05;1397178,4;1429857,9;1374230,9;1397178,4;1381017,5;1410007,4;1464616,6
2012-10-12;1398307,5;1368196,4;1311768,5;1398307,5;1334775,0;1366284,9;1412925,2
2012-10-19;1398578,2;1396084,8;1316272,6;1398578,2;1338662,5;1381787,6;1363155,8
2012-10-26;1399374,2;1372384,4;1326650,9;1399374,2;1346220,9;1374986,8;1347454,6
2012-09-07;1343504,5;1436351,4;1318720,5;1343504,5;1325607,1;1381313,8;1477154,8
2012-09-14;1326036,1;1339168,2;1232742,9;1326036,1;1254153,1;1311349,0;1242909,5
2012-09-21;1385288,1;1267941,4;1244839,5;1385288,1;1280403,9;1298960,5;1261158,5
2012-09-28;1378267,9;1255302,5;1258338,2;1378267,9;1288247,4;1298609,9;1259278,4
2012-10-05;1361306,4;1365629,2;1338948,1;1361306,4;1344711,1;1359747,4;1416720,5
2012-10-12;1362136,9;1352366,1;1277836,5;1362136,9;1298859,1;1339271,5;1416301,1
2012-10-19;1361743,8;1326107,0;1281605,8;1361743,8;1301320,0;1327453,4;1255414,9
2012-10-26;1361868,5;1312329,2;1291094,4;1361868,5;1308380,2;1325556,0;1307182,2
2012-09-07;709638,6;717962,9;696547,7;709638,6;690596,2;705793,3;671482,94
2012-09-14;710580,25;681958,8;660587,44;710580,25;638163,44;676513,1;657242,9
2012-09-21;712651,9;666603,7;640399,06;712651,9;608818,75;663920,94;664745,2
2012-09-28;712617,75;662345,7;650609,56;712617,75;623647,56;670586,44;683300,8
2012-10-05;710735,94;696389,5;699062,7;710735,94;693884,0;700104,2;699536,75
2012-10-12;710767,2;682252,2;666779,0;710767,2;647265,94;679796,06;697317,44
2012-10-19;710653,9;690098,6;668832,25;710653,9;650481,3;685064,25;685531,9
2012-10-26;710758,56;694081,8;673821,56;710758,56;657764,94;691690,3;688940,94
2012-09-07;1030841,06;1080192,2;1011824,8;1030841,06;1012395,8;1047387,8;1081874,0
2012-09-14;997524,5;1017043,3;927343,75;997524,5;925805,9;987228,06;986131,94
2012-09-21;1029149,1;969386,1;924807,94;1029149,1;925101,44;973171,4;961113,2
2012-09-28;1024331,75;965328,5;935199,9;1024331,75;935224,56;977678,9;964726,4
2012-10-05;1006814,6;1060092,1;990278,5;1006814,6;990956,6;1029942,5;1095504,2
2012-10-12;1007653,25;1026468,8;945291,3;1007653,25;944840,25;1000094,1;1044639,7
2012-10-19;1007100,94;1006982,94;947833,5;1007100,94;947220,1;991497,9;975578,0
2012-10-26;1007387,94;988875,0;955035,5;1007387,94;954359,2;987239,0;958619,8
2012-09-07;1551944,4;1808412,5;1523315,2;1551944,4;1536429,0;1671807,0;1840955,2
2012-09-14;1756457,0;1683933,4;1632881,6;1756457,0;1683384,6;1699540,6;1519604,5
2012-09-21;1728153,1;1618538,6;1552942,9;1728153,1;1623374,4;1646470,6;1557485,8
2012-09-28;1728059,5;1581799,9;1577692,9;1728059,5;1637693,0;1637266,4;1540687,6
2012-10-05;1783526,5;1676569,9;1754233,6;1783526,5;1765349,9;1726432,5;1591856,4
2012-10-12;1783343,1;1675686,9;1672975,0;1783343,1;1718688,6;1712041,6;1660081,2
2012-10-19;1782052,9;1675358,0;1677180,0;1782052,9;1720624,0;1712697,4;1620374,2
2012-10-26;1781549,5;1651149,9;1688965,1;1781549,5;1726907,6;1705132,1;1703047,8
2012-09-07;1291136,2;1273123,5;1267318,2;1291136,2;1271699,8;1273758,4;1469694,0
2012-09-14;1233529,9;1190168,8;1146745,0;1233529,9;1160874,1;1191194,8;1124660,8
2012-09-21;1234920,1;1137529,0;1109716,8;1234920,1;1130316,0;1159349,2;1135340,1
2012-09-28;1241867,8;1142117,0;1133807,0;1241867,8;1152165,6;1174329,1;1129508,6
2012-10-05;1319711,5;1308155,5;1298036,4;1319711,5;1302897,8;1310317,9;1462941,0
2012-10-12;1320799,5;1232185,1;1239057,4;1320799,5;1256417,0;1259019,0;1205536,8
2012-10-19;1319046,6;1190302,1;1241421,4;1319046,6;1257302,8;1238666,4;1143724,5
2012-10-26;1319656,2;1197458,5;1251075,8;1319656,2;1265131,6;1247339,8;1213860,6
2012-09-07;542846,7;535958,8;532832,6;542846,7;523589,1;531880,56;540811,9
2012-09-14;541554,4;496714,1;503453,38;541554,4;468922,28;500575,12;475127,2
2012-09-21;541322,7;487225,72;486440,25;541322,7;437417,38;490125,34;489079,22
2012-09-28;542684,56;480194,44;495463,03;542684,56;453557,7;495568,12;489725,9
2012-10-05;542069,2;509517,94;533166,1;542069,2;524930,7;522544,78;520646,8
2012-10-12;542405,7;498089,3;508837,1;542405,7;478687,28;504546,8;513737,0
2012-10-19;542190,06;500604,94;510282,47;542190,06;481721,8;507013,44;516909,22
2012-10-26;542383,8;508620,12;514196,97;542383,8;489153,88;515422,34;535148,8
2012-09-07;401963,9;410441,75;394548,75;401963,9;382964,75;398923,25;408229,72
2012-09-14;403187,06;401763,12;374820,88;403187,06;331281,4;384514,7;407589,16
2012-09-21;406635,44;391974,72;365408,38;406635,44;303402,97;375935,25;414392,1
2012-09-28;403562,2;385758,7;368446,34;403562,2;315181,97;379301,1;389813,03
2012-10-05;404018,16;399049,44;397382,47;404018,16;387323,7;398389,75;443570,62
2012-10-12;404330,0;396547,88;379306,7;404330,0;341220,78;385244,72;410804,38
2012-10-19;404356,03;395495,66;380559,88;404356,03;344434,25;386005,78;424520,56
2012-10-26;404495,34;390540,22;383474,38;404495,34;351600,44;387763,34;405432,7
2012-09-07;430815,47;430040,34;422868,1;430815,47;411764,5;424968,22;433565,78
2012-09-14;429685,75;420132,06;399455,25;429685,75;357986,4;411438,6;437773,3
2012-09-21;433265,84;417035,16;389338,8;433265,84;330480,6;407623,16;443891,62
2012-09-28;438012,38;410800,22;399898,84;438012,38;349811,2;412886,8;425410,03
2012-10-05;435640,38;434853,28;428485,34;435640,38;419100,53;432888,78;446751,44
2012-10-12;434268,1;434247,16;407391,94;434268,1;371628,28;422862,0;434593,25
2012-10-19;438790,4;437960,88;412967,8;438790,4;379320,72;427935,6;437537,28
2012-10-26;444537,94;432819,38;421436,0;444537,94;391903,28;431362,84;439424,5
2012-09-07;1399884,1;1396689,0;1374060,0;1399884,1;1380659,4;1389915,0;1358111,6
2012-09-14;1398408,6;1369051,5;1300023,6;1398408,6;1325952,9;1363075,6;1327705,4
2012-09-21;1402343,2;1334538,8;1260165,5;1402343,2;1298161,8;1341565,8;1373064,9
2012-09-28;1401586,1;1296517,4;1279627,6;1401586,1;1311808,0;1331388,5;1279080,6
2012-10-05;1400393,4;1385261,8;1377393,0;1400393,4;1383528,6;1389212,0;1363365,1
2012-10-12;1401681,8;1378358,6;1314934,0;1401681,8;1338232,0;1372546,9;1401113,4
2012-10-19;1401846,1;1367859,0;1319348,1;1401846,1;1341456,0;1368844,5;1378730,5
2012-10-26;1402800,8;1342060,4;1329899,4;1402800,8;1349154,0;1361213,0;1340232,6
2012-09-07;1202611,9;1187885,2;1180426,9;1202611,9;1183222,4;1186877,0;1126686,0
2012-09-14;1174121,9;1170494,9;1091516,6;1174121,9;1102033,8;1151653,9;1156377,5
2012-09-21;1177194,1;1157097,5;1057843,2;1177194,1;1073694,1;1140270,5;1159119,6
2012-09-28;1172237,8;1125513,0;1070235,9;1172237,8;1083293,1;1131212,1;1157111,1
2012-10-05;1173960,8;1177710,4;1154679,4;1173960,8;1157365,8;1172220,0;1202775,2
2012-10-12;1174839,1;1181050,8;1102130,2;1174839,1;1111811,2;1160471,6;1176681,2
2012-10-19;1175179,5;1167680,1;1106020,8;1175179,5;1115167,8;1155421,8;1199292,0
2012-10-26;1175978,2;1166116,1;1114864,5;1175978,2;1123058,4;1159829,6;1219979,2
2012-09-07;275880,78;267562,8;270791,5;275880,78;256676,83;266504,78;286428,78
2012-09-14;276304,1;264284,72;256864,75;276304,1;204611,48;257422,75;277417,53
2012-09-21;237504,42;248169,38;213424,84;237504,42;135417,88;226088,53;252709,58
2012-09-28;229690,28;240817,72;209703,84;229690,28;142422,06;224246,45;242813,52
2012-10-05;253262,7;261959,95;249103,06;253262,7;236954,33;255358,1;265444,9
2012-10-12;276435,28;266430,25;259327,16;276435,28;213631,81;260543,56;291781,16
2012-10-19;246621,48;254253,08;232107,94;246621,48;187403,31;240461,25;254412,34
2012-10-26;238951,6;245563,83;226533,66;238951,6;186774,88;235267,02;253731,12
2012-09-07;970331,56;966595,25;952431,56;970331,56;951099,06;960092,0;976415,56
2012-09-14;970253,94;949236,9;901991,8;970253,94;897917,4;939090,94;955211,7
2012-09-21;996010,6;922613,9;895029,25;996010,6;891749,25;932437,0;943047,8
2012-09-28;972259,5;898477,6;887658,6;972259,5;882928,4;917705,3;928797,3
2012-10-05;970687,2;958994,6;954744,5;970687,2;953871,56;961225,2;968896,7
2012-10-12;971595,06;945685,2;911464,6;971595,06;908108,3;941166,8;948613,4
2012-10-19;971744,6;950627,4;914557,94;971744,6;911538,3;945177,94;963516,3
2012-10-26;972059,8;942804,7;921543,4;972059,8;918862,9;946214,6;956987,8
2012-09-07;927358,2;929348,4;910250,9;927358,2;908247,0;920952,5;984842,8
2012-09-14;908302,9;845332,25;844399,3;908302,9;835385,56;858557,7;821731,06
2012-09-21;898626,5;794791,3;807518,5;898626,5;793931,94;822949,6;772591,06
2012-09-28;893455,6;776622,3;815711,9;893455,6;803459,2;819423,6;814099,9
2012-10-05;873454,94;830086,5;859109,2;873454,94;856137,94;848574,25;866357,25
2012-10-12;892156,44;822143,75;836942,3;892156,44;828028,6;841702,6;873679,75
2012-10-19;914304,1;818006,44;860497,8;914304,1;852958,3;852003,3;829284,7
2012-10-26;915180,06;806274,5;867619,6;915180,06;860743,25;850810,25;865154,1
2012-09-07;317687,56;309827,44;311827,06;317687,56;298506,56;308783,16;293728,56
2012-09-14;323883,0;309784,34;301096,25;323883,0;252206,97;304560,72;301893,62
2012-09-21;315088,88;302020,12;283143,34;315088,88;212562,1;292585,12;293804,44
2012-09-28;320181,25;297334,22;292320,78;320181,25;232213,08;298262,16;270677,97
2012-10-05;307776,4;318124,47;302721,44;307776,4;291535,03;310802,0;277168,72
2012-10-12;316631,56;320533,94;297035,75;316631,56;254217,7;308200,03;300247,8
2012-10-19;304407,6;312904,94;286493,38;304407,6;245284,08;299144,25;287360,06
2012-10-26;302869,06;299419,4;287129,4;302869,06;250517,88;294478,7;272489,4
2012-09-07;517543,2;535761,8;507995,9;517543,2;498839,6;520707,53;526838,1
2012-09-14;517382,72;522043,5;480982,28;517382,72;445857,2;505045,4;514651,75
2012-09-21;517735,75;517350,16;465244,66;517735,75;415113,53;498457,6;521320,97
2012-09-28;517691,28;510895,5;472644,56;517691,28;429790,0;501749,94;527953,1
2012-10-05;517470,6;534514,3;508971,56;517470,6;501259,38;523424,78;546122,4
2012-10-12;517404,6;525127,06;485383,28;517404,6;454808,34;508857,22;521810,75
2012-10-19;518126,94;520286,0;487635,44;518126,94;458612,75;507838,47;551969,1
2012-10-26;518234,72;515212,2;491302,88;518234,72;465701,25;508757,34;534738,44
2012-09-07;436132,72;431972,25;428087,22;436132,72;416987,78;428228,84;490274,8
2012-09-14;415769,06;420915,66;386517,66;415769,06;344285,2;403974,0;430944,4
2012-09-21;422004,97;407782,3;379219,66;422004,97;319142,94;396197,78;409600,97
2012-09-28;416933,88;398226,03;380654,53;416933,88;328823,28;395292,47;398469,6
2012-10-05;460662,22;434963,56;453096,22;460662,22;443592,56;445297,66;458479,0
2012-10-12;423945,9;422860,84;397708,6;423945,9;361199,2;411248,0;437320,66
2012-10-19;412907,75;417765,88;388608,34;412907,75;353474,34;404200,78;428806,47
2012-10-26;410051,8;406732,4;388742,03;410051,8;357532,9;400588,53;417290,38
2012-09-07;1616958,4;1656196,8;1587129,9;1616958,4;1598351,9;1628327,5;1609811,8
2012-09-14;1625610,0;1574790,1;1511240,2;1625610,0;1552852,2;1579844,9;1447614,1
2012-09-21;1574039,5;1515131,5;1414454,1;1574039,5;1469994,6;1518099,8;1555672,5
2012-09-28;1569147,6;1471956,5;1432608,8;1569147,6;1479480,5;1503144,9;1495607,0
2012-10-05;1561958,2;1553595,4;1536304,4;1561958,2;1545191,9;1554213,5;1574408,6
2012-10-12;1431374,6;1528023,4;1342789,2;1431374,6;1369672,0;1462478,9;1494431,5
2012-10-19;1498486,6;1537220,4;1410301,5;1498486,6;1439155,9;1502077,4;1577486,4
2012-10-26;1498836,4;1512398,5;1420944,2;1498836,4;1446265,0;1494562,5;1569502,0
2012-09-07;2177796,0;2149963,2;2137621,5;2177796,0;2158221,0;2155387,0;2125104,8
2012-09-14;2203224,2;2121726,5;2048216,5;2203224,2;2130025,2;2141521,5;2117854,5
2012-09-21;2121417,5;2065007,1;1906335,9;2121417,5;2017389,1;2065947,5;2119438,5
2012-09-28;2124416,8;1993286,4;1939561,4;2124416,8;2034274,8;2040932,5;2027620,2
2012-10-05;2140330,0;2143549,8;2105177,0;2140330,0;2123723,2;2138271,8;2209835,5
2012-10-12;2143969,5;2113329,8;2011282,8;2143969,5;2080408,5;2110923,0;2133026,0
2012-10-19;2161855,2;2148233,5;2034631,1;2161855,2;2101746,5;2138804,5;2097266,8
2012-10-26;2166848,5;2112289,2;2054240,8;2166848,5;2113290,2;2128188,5;2149594,5
2012-09-07;957760,56;1011801,25;940092,5;957760,56;939368,6;976530,7;1088248,4
2012-09-14;956785,2;949030,0;889470,7;956785,2;884651,56;932552,44;901709,8
2012-09-21;1003085,2;912466,06;901386,5;1003085,2;898580,7;931289,8;899803,4
2012-09-28;964138,2;911994,7;880244,06;964138,2;875123,94;920659,06;919595,44
2012-10-05;968187,9;1003408,0;952286,2;968187,9;952053,2;982234,7;1069112,0
2012-10-12;969428,44;973953,3;909432,1;969428,44;906390,7;954470,75;982523,25
2012-10-19;969094,8;954492,6;912064,0;969094,8;908991,1;946017,75;918170,5
2012-10-26;969610,1;943984,25;919220,94;969610,1;916470,8;945742,2;921264,5
2012-09-07;1496355,0;1389496,9;1468751,2;1496355,0;1475666,9;1434433,1;1392320,2
2012-09-14;1439308,4;1334462,2;1338045,9;1439308,4;1365780,6;1365931,5;1306644,2
2012-09-21;1419242,0;1291537,6;1275351,0;1419242,0;1314209,4;1328124,9;1276609,4
2012-09-28;1365263,6;1258716,6;1246465,6;1365263,6;1275467,9;1294070,9;1307928,0
2012-10-05;1330456,8;1337612,0;1308605,0;1330456,8;1313905,5;1330366,4;1400161,0
2012-10-12;1375688,0;1327843,0;1290548,9;1375688,0;1311884,6;1334038,9;1409545,0
2012-10-19;1390144,0;1309834,2;1308334,8;1390144,0;1329096,0;1333749,1;1326197,2
2012-10-26;1495275,1;1309657,9;1417568,0;1495275,1;1439871,0;1391086,2;1316542,6
2012-09-07;574852,4;570734,9;564247,9;574852,4;555708,3;566970,0;617405,4
2012-09-14;572196,4;561145,25;531939,5;572196,4;500381,9;552302,44;586737,7
2012-09-21;540128,44;534594,4;485367,06;540128,44;437443,72;518665,56;527190,7
