ds;AutoARIMA;AutoARIMA/BottomUp;AutoARIMA/TopDown_method-forecast_proportions;AutoARIMA/MiddleOut_middle_level-Total/Store_top_down_method-forecast_proportions;AutoARIMA/MinTrace_method-ols;AutoARIMA/MinTrace_method-wls_struct
2012-11-02;1383392,2;1513463,4;1409338,9;1383392,2;1402688,0;1435718,6
2012-11-09;1437606,6;1573320,5;1453655,5;1437606,6;1448988,5;1484359,5
2012-11-16;1437288,2;1612793,1;1423048,8;1437288,2;1427685,0;1498673,1
2012-11-23;1444020,4;1526653,2;2054493,1;1444020,4;1879221,2;1631687,4
2012-11-30;1442219,9;1463118,1;1572241,5;1442219,9;1534659,5;1487392,2
2012-12-07;1442505,8;1361629,8;1745614,5;1442505,8;1657394,4;1485563,8
2012-12-14;1441546,6;1351632,5;1923244,0;1441546,6;1784363,1;1535501,6
2012-12-21;1441579,6;1281587,6;2483291,5;1441579,6;2186664,5;1654537,5
2012-11-02;1910640,8;2091917,2;1946476,2;1910640,8;1930602,5;1988731,0
2012-11-09;1923288,8;2207281,2;1944759,5;1923288,8;1936567,5;2044448,0
2012-11-16;1910940,6;2157673,8;1892008,5;1910940,6;1902268,6;2008273,4
2012-11-23;1949268,8;2064662,5;2773340,0;1949268,8;2384827,8;2151463,5
2012-11-30;1921580,9;1986205,2;2094818,8;1921580,9;2014562,5;1988176,8
2012-12-07;1922497,2;1939736,4;2326465,0;1922497,2;2138580,5;2013555,9
2012-12-14;1921566,4;1817763,4;2563663,8;1921566,4;2264137,8;2006818,5
2012-12-21;1921885,2;1741829,2;3310674,8;1921885,2;2666571,0;2121102,8
2012-11-02;2069307,9;2348895,5;2108119,2;2069307,9;2090514,0;2196553,5
2012-11-09;2101564,5;2523485,2;2125025,5;2101564,5;2116589,2;2291687,8
2012-11-16;2107053,8;2459199,8;2086178,6;2107053,8;2099716,2;2257093,0
2012-11-23;2118014,0;2357994,0;3013423,8;2118014,0;2555150,0;2382502,0
2012-11-30;2111271,0;2227986,2;2301610,2;2111271,0;2204912,0;2203912,2
2012-12-07;2112749,8;2222643,5;2556694,5;2112749,8;2330005,8;2250135,8
2012-12-14;2112559,8;2083983,2;2818478,2;2112559,8;2456083,2;2235425,0
2012-12-21;2113179,8;2026048,9;3640202,2;2113179,8;2859042,0;2358860,0
2012-11-02;732126,44;739333,6;745858,06;732126,44;749883,0;723342,75
2012-11-09;751934,8;754550,2;760329,1;751934,8;761650,7;732672,6
2012-11-16;730525,5;721606,6;723288,06;730525,5;718617,94;700366,06
2012-11-23;751488,9;686391,94;1069187,6;751488,9;1184681,4;861585,75
2012-11-30;756347,06;609269,9;824534,6;756347,06;846609,94;716652,44
2012-12-07;756930,25;599562,5;915981,44;756930,25;970742,25;759628,6
2012-12-14;757022,94;568191,75;1009984,56;757022,94;1098430,9;798002,56
2012-12-21;757284,4;560726,4;1304512,0;757284,4;1501606,6;944542,75
2012-11-02;1029998,06;1197892,9;1049316,5;1029998,06;1049839,6;1101719,1
2012-11-09;1027797,8;1220013,2;1039271,7;1027797,8;1039974,9;1103602,9
2012-11-16;1027724,94;1141044,8;1017543,0;1027724,94;1017405,4;1059018,6
2012-11-23;1033361,9;1099514,4;1470225,0;1033361,9;1468174,9;1207230,9
2012-11-30;1030513,25;983341,56;1123418,0;1030513,25;1122033,5;1040332,0
2012-12-07;1030919,6;952475,6;1247543,2;1030919,6;1245694,0;1072022,9
2012-12-14;1030748,7;929387,9;1375176,6;1030748,7;1373203,1;1113705,1
2012-12-21;1031195,25;863301,6;1776355,9;1031195,25;1775731,1;1229077,5
2012-11-02;1387597,9;1569837,5;1413623,4;1387597,9;1407598,4;1466330,8
2012-11-09;1504531,6;1605513,1;1521327,8;1504531,6;1515508,6;1534452,5
2012-11-16;1394088,8;1598279,2;1380277,1;1394088,8;1384913,4;1470484,0
2012-11-23;1400754,9;1539602,4;1992936,8;1400754,9;1836562,0;1612824,0
2012-11-30;1395457,6;1431021,8;1521263,4;1395457,6;1488062,0;1447083,9
2012-12-07;1396504,1;1390904,4;1689946,8;1396504,1;1612261,9;1475086,2
2012-12-14;1396744,1;1339399,8;1863470,5;1396744,1;1739837,8;1503467,1
2012-12-21;1397476,0;1241363,0;2407317,8;1397476,0;2142316,8;1604956,9
2012-11-02;1363227,4;1478209,0;1388795,8;1363227,4;1382365,6;1408330,9
2012-11-09;1394727,6;1576848,2;1410297,9;1394727,6;1406744,9;1465218,0
2012-11-16;1354207,6;1537847,1;1340791,1;1354207,6;1344768,8;1420327,4
2012-11-23;1395467,2;1481514,1;1985413,9;1395467,2;1830597,5;1581136,0
2012-11-30;1359364,9;1334074,1;1481916,8;1359364,9;1451189,1;1380563,5
2012-12-07;1360129,4;1346597,8;1645928,6;1360129,4;1575785,4;1434745,6
2012-12-14;1359745,1;1288247,0;1814108,2;1359745,1;1702657,2;1459391,1
2012-12-21;1359846,4;1232128,2;2342496,2;1359846,4;2105051,2;1581524,6
2012-11-02;708494,06;785788,9;721782,4;708494,06;727149,2;734754,25
2012-11-09;707878,75;823264,0;715781,2;707878,75;719040,44;745001,56
2012-11-16;707705,1;761218,56;700693,7;707705,1;696598,0;708761,94
2012-11-23;708534,8;748144,9;1008074,44;708534,8;1143069,6;870985,1
2012-11-30;708920,75;675528,94;772832,6;708920,75;800641,1;726068,75
2012-12-07;708936,1;648402,56;857902,4;708936,1;923989,56;760051,5
2012-12-14;708815,6;626296,56;945668,6;708815,6;1051586,5;802951,3
2012-12-21;708899,44;619998,5;1221163,2;708899,44;1454602,0;949986,3
2012-11-02;1130288,8;1120177,5;1151488,2;1130288,8;1147818,6;1113006,8
2012-11-09;1028790,3;1162223,6;1040275,3;1028790,3;1040203,94;1075204,2
2012-11-16;997707,9;1164315,2;987823,4;997707,9;988080,4;1055645,5
2012-11-23;1022967,94;1115641,8;1455437,0;1022967,94;1458125,4;1210097,5
2012-11-30;1006918,94;1037808,06;1097696,6;1006918,94;1099453,0;1055768,0
2012-12-07;1007706,75;1004149,94;1219452,6;1007706,75;1223453,6;1086253,6
2012-12-14;1007189,1;963448,25;1343744,5;1007189,1;1350391,9;1118955,5
2012-12-21;1007458,9;890824,6;1735467,1;1007458,9;1752660,5;1230970,8
2012-11-02;1709602,8;1884895,9;1741667,8;1709602,8;1729488,8;1784701,1
2012-11-09;1716258,8;1942696,5;1735418,5;1716258,8;1728809,0;1808640,6
2012-11-16;1719107,1;1947772,5;1702075,5;1719107,1;1710206,5;1807406,0
2012-11-23;1713431,5;1864101,2;2437800,2;1713431,5;2149437,0;1933264,2
2012-11-30;1644887,8;1748339,0;1793180,6;1644887,8;1738360,9;1730896,9
2012-12-07;1644877,0;1710999,9;1990509,2;1644877,0;1861579,0;1760377,8
2012-12-14;1675316,0;1612524,9;2235128,2;1675316,0;2018406,5;1781074,0
2012-12-21;1747367,2;1482999,4;3010047,0;1747367,2;2490986,0;1904428,9
2012-11-02;1381369,4;1376696,0;1407278,0;1381369,4;1398973,6;1366645,5
2012-11-09;1263805,9;1453774,8;1277914,5;1263805,9;1275923,8;1338220,2
2012-11-16;1305920,1;1380001,0;1292982,1;1305920,1;1295076,6;1317260,6
2012-11-23;1317926,5;1352863,5;1875092,0;1317926,5;1752401,5;1478040,2
2012-11-30;1314578,5;1266519,8;1433092,8;1314578,5;1406110,9;1324393,2
2012-12-07;1315560,0;1275381,4;1591994,1;1315560,0;1530874,4;1376853,0
2012-12-14;1313875,2;1171603,5;1752910,9;1313875,2;1655880,0;1378134,6
2012-12-21;1314406,4;1134636,9;2264220,5;1314406,4;2058943,9;1510059,0
2012-11-02;540037,75;574091,0;550166,56;540037,75;558138,5;544677,1
2012-11-09;537493,6;582271,7;543494,0;537493,6;547750,06;539312,75
2012-11-16;537288,94;585589,75;531965,9;537288,94;526115,0;535739,44
2012-11-23;540145,7;525248,0;768497,25;540145,7;973981,75;675342,25
2012-11-30;540119,8;493293,56;588813,7;540119,8;631667,94;550550,7
2012-12-07;540420,6;483959,47;653977,3;540420,6;755526,3;593572,25
2012-12-14;540203,0;457753,53;720713,56;540203,0;882974,75;634373,5
2012-12-21;540369,1;454475,72;930849,75;540369,1;1286110,2;782959,75
2012-11-02;404171,66;461230,66;411752,22;404171,66;422601,72;421118,28
2012-11-09;403762,0;476262,0;408269,44;403762,0;414428,9;420777,78
2012-11-16;406395,44;466067,3;402369,16;406395,44;395430,16;412200,25
2012-11-23;404024,34;416126,22;574829,3;404024,34;837831,06;543457,94
2012-11-30;404448,38;387838,56;440910,97;404448,38;496287,34;427789,78
2012-12-07;404748,5;398370,94;489796,9;404748,5;620298,7;477657,4
2012-12-14;404715,44;378410,0;539952,4;404715,44;747878,06;518166,06
2012-12-21;404858,2;364694,38;697416,2;404858,2;1150486,0;651772,25
2012-11-02;438607,56;490918,97;446834,0;438607,56;457030,62;454467,38
2012-11-09;437864,03;500174,06;442752,2;437864,03;448479,88;451922,0
2012-11-16;437641,2;513852,28;433305,38;437641,2;427051,1;454385,75
2012-11-23;436693,0;487110,47;621309,0;436693,0;870368,4;580464,06
2012-11-30;435672,47;464204,03;474950,03;435672,47;528020,5;478068,3
2012-12-07;430771,4;470122,88;521287,94;430771,4;646645,75;518089,53
2012-12-14;428744,6;429094,2;572010,94;428744,6;771685,7;541455,7
2012-12-21;425609,94;413502,06;733163,5;425609,94;1170326,1;656885,75
2012-11-02;1391766,0;1516489,0;1417869,6;1391766,0;1411047,0;1441901,2
2012-11-09;1397372,6;1590918,9;1412972,4;1397372,6;1409567,0;1473843,0
2012-11-16;1397385,9;1539620,0;1383541,6;1397385,9;1387441,9;1443136,9
2012-11-23;1391658,2;1474907,1;1979994,6;1391658,2;1826693,2;1574075,4
2012-11-30;1397479,2;1372775,4;1523467,2;1397479,2;1489291,4;1418531,8
2012-12-07;1398666,0;1356296,2;1692562,8;1398666,0;1613908,9;1457806,5
2012-12-14;1398796,8;1363343,6;1866209,1;1398796,8;1742107,1;1514707,1
2012-12-21;1399667,9;1254087,6;2411093,5;1399667,9;2144493,5;1608706,9
2012-11-02;1179698,2;1380797,0;1201824,4;1179698,2;1199940,6;1267860,5
2012-11-09;1169239,5;1420476,5;1182292,4;1169239,5;1182142,9;1274288,1
2012-11-16;1173836,1;1355928,2;1162206,6;1173836,1;1164377,4;1239182,1
2012-11-23;1177117,2;1293049,5;1674754,4;1177117,2;1612630,6;1377728,8
2012-11-30;1174009,1;1169594,8;1279850,5;1174009,1;1266101,0;1205646,0
2012-12-07;1174833,9;1188718,1;1421697,6;1174833,9;1390841,4;1263158,1
2012-12-14;1175153,0;1137600,9;1567834,1;1175153,0;1518500,4;1291772,2
2012-12-21;1175901,6;1080912,0;2025629,8;1175901,6;1921526,1;1413944,1
2012-11-02;252405,03;292191,53;257139,1;252405,03;270640,66;262163,25
2012-11-09;286629,1;288662,5;289828,9;286629,1;296315,72;270815,9
2012-11-16;255541,06;288990,75;253009,38;255541,06;244304,02;251238,66
2012-11-23;242680,22;289961,84;345275,5;242680,22;676213,0;383030,84
2012-11-30;233678,52;244248,67;254745,53;233678,52;325730,34;266654,12
2012-12-07;272271,84;254305,86;329483,38;272271,84;487207,5;329874,28
2012-12-14;264281,22;250655,75;352591,62;264281,22;606920,3;368246,4
2012-12-21;241503,23;247004,72;416017,9;241503,23;986309,75;477875,44
2012-11-02;969058,56;1071700,9;987233,94;969058,56;988024,9;1007831,5
2012-11-09;968911,3;1160828,4;979727,8;968911,3;981024,6;1044032,8
2012-11-16;1012966,56;1085559,2;1002930,8;1012966,56;1002090,3;1023229,2
2012-11-23;969312,9;996244,1;1379098,8;969312,9;1403752,1;1127276,5
2012-11-30;969740,5;931359,5;1057166,4;969740,5;1061418,2;984833,5
2012-12-07;970585,25;900994,0;1174531,0;970585,25;1185569,4;1018228,75
2012-12-14;970717,75;831611,2;1295086,1;970717,75;1312842,2;1038318,1
2012-12-21;971005,2;815967,0;1672671,4;971005,2;1716007,8;1182731,8
2012-11-02;890522,5;973043,8;907224,94;890522,5;909277,75;919878,6
2012-11-09;891721,06;990609,06;901675,9;891721,06;902716,9;921396,6
2012-11-16;897840,56;987713,5;888945,5;897840,56;887251,8;918078,4
2012-11-23;896801,4;927025,0;1275932,4;896801,4;1331005,9;1049000,9
2012-11-30;872516,44;816782,1;951177,1;872516,44;963873,9;877174,75
2012-12-07;888699,6;819114,06;1075439,0;888699,6;1103489,2;932118,3
2012-12-14;888911,0;781150,06;1185943,5;888911,0;1231124,4;965150,6
2012-12-21;886879,25;763485,44;1527754,5;886879,25;1631688,2;1099594,9
2012-11-02;296394,66;305817,84;301953,78;296394,66;314155,84;290971,22
2012-11-09;303418,06;317521,6;306805,3;303418,06;313293,28;293639,94
2012-11-16;294470,5;317964,38;291553,1;294470,5;283077,9;285190,22
2012-11-23;300856,53;302637,53;428046,4;300856,53;733678,4;418456,84
2012-11-30;291395,56;268282,88;317666,0;291395,56;382921,1;307529,75
2012-12-07;297238,9;279084,0;359696,7;297238,9;512171,6;354746,9
2012-12-14;293920,3;256613,42;392134,7;293920,3;636189,4;386044,78
2012-12-21;293186,56;261823,22;505048,56;293186,56;1037417,06;511126,38
2012-11-02;518930,16;625016,1;528663,1;518930,16;538223,56;561999,06
2012-11-09;519517,78;631479,2;525317,5;519517,78;530947,4;558935,7
2012-11-16;519197,1;617760,06;514053,28;519197,1;509004,84;547785,1
2012-11-23;518873,53;568598,25;738232,06;518873,53;952347,75;658593,25
2012-11-30;518819,12;514875,84;565592,6;518819,12;610620,06;544098,5
2012-12-07;519092,3;500886,5;628167,4;519092,3;733965,5;575517,94
2012-12-14;518905,16;483481,1;692298,94;518905,16;861108,5;610212,7
2012-12-21;519012,25;465926,44;894060,0;519012,25;1262702,5;722382,56
2012-11-02;419373,28;482963,2;427238,94;419373,28;437980,84;441033,22
2012-11-09;450791,62;478989,22;455824,1;450791,62;460887,06;448060,53
2012-11-16;431080,34;513240,9;426809,53;431080,34;420604,4;451133,38
2012-11-23;391738,25;493707,5;557349,2;391738,25;826125,5;559432,75
2012-11-30;428909,0;415030,47;467576,8;428909,0;520578,8;449660,25
2012-12-07;456399,53;424992,2;552301,2;456399,53;671125,2;507281,3
2012-12-14;447011,9;414562,47;596382,3;447011,9;789356,9;541565,1
2012-12-21;400619,72;399465,0;690114,9;400619,72;1145322,2;633663,9
2012-11-02;1508479,2;1758633,4;1536771,9;1508479,2;1529428,9;1621490,8
2012-11-09;1635193,4;1876144,0;1653448,0;1635193,4;1648042,9;1735633,0
2012-11-16;1587098,9;1866827,8;1571375,1;1587098,9;1578990,4;1701931,0
2012-11-23;1575984,9;1728384,2;2242246,8;1575984,9;2011868,9;1791124,8
2012-11-30;1588793,1;1590403,0;1732029,0;1588793,1;1680931,2;1622563,0
2012-12-07;1556438,8;1617449,2;1883487,8;1556438,8;1772997,2;1666212,5
2012-12-14;1605081,8;1506391,2;2141425,0;1605081,8;1947494,5;1687614,9
2012-12-21;1611040,2;1478114,8;2775207,5;1611040,2;2355878,2;1822698,2
2012-11-02;2170512,0;2425543,8;2211221,8;2170512,0;2191407,2;2285479,5
2012-11-09;2185269,8;2522064,0;2209665,2;2185269,8;2199217,0;2332830,0
2012-11-16;2134690,8;2531108,8;2113541,8;2134690,8;2127913,5;2306866,0
2012-11-23;2148127,0;2446802,2;3056267,5;2148127,0;2586006,0;2441962,5
2012-11-30;2147857,8;2252397,8;2341495,2;2147857,8;2241344,8;2234411,2
2012-12-07;2132148,0;2345370,5;2580169,0;2132148,0;2350712,0;2321198,2
2012-12-14;2147420,5;2147481,0;2864988,0;2147420,5;2491306,5;2284604,2
2012-12-21;2147527,8;1988359,0;3699370,5;2147527,8;2892478,0;2357189,0
2012-11-02;950294,8;1120517,9;968118,3;950294,8;970141,3;1023019,06
2012-11-09;954480,06;1079395,6;965135,5;954480,06;965763,94;996367,94
2012-11-16;954751,5;1055045,0;945292,5;954751,5;944244,1;979198,25
2012-11-23;958917,0;1061501,1;1364307,9;958917,0;1394259,2;1152854,4
2012-11-30;967843,8;919022,2;1055098,6;967843,8;1059366,4;977277,0
2012-12-07;969005,4;936096,6;1172619,1;969005,4;1184413,0;1033933,25
2012-12-14;968689,2;923292,06;1292379,8;968689,2;1311936,0;1081385,9
2012-12-21;969169,06;873616,2;1669508,4;969169,06;1714786,2;1206930,0
2012-11-02;1299462,6;1527632,2;1323835,0;1299462,6;1320052,0;1401160,2
2012-11-09;1337423,2;1589841,0;1352353,8;1337423,2;1350341,8;1443062,1
2012-11-16;1411941,6;1523119,8;1397953,2;1411941,6;1401573,8;1441830,8
2012-11-23;1427470,5;1418123,5;2030946,6;1427470,5;1861377,8;1565442,4
2012-11-30;1408495,5;1328851,6;1535476,8;1408495,5;1499622,9;1402517,5
2012-12-07;1407893,1;1349675,0;1703728,9;1407893,1;1622976,2;1460166,2
2012-12-14;1402860,5;1227515,8;1871630,9;1402860,5;1744441,2;1450583,2
2012-12-21;1413160,9;1200331,0;2434337,0;1413160,9;2157274,5;1592283,2
2012-11-02;572723,7;604365,4;583465,56;572723,7;590835,44;578570,4
2012-11-09;583139,44;642160,2;589649,4;583139,44;593728,7;596087,06
2012-11-16;564449,7;608064,56;558857,56;564449,7;553385,25;565563,6
2012-11-23;539676,9;583243,3;767830,2;539676,9;973053,4;676317,3
2012-11-30;549952,75;564146,2;599533,1;549952,75;642041,56;584300,5
2012-12-07;582649,44;539990,0;705079,56;582649,44;797134,44;626848,25
2012-12-14;568843,44;530232,2;758924,25;568843,44;910996,2;658557,3
2012-12-21;541859,94;531857,1;933417,9;541859,94;1286234,1;766771,75
2012-11-02;627295,0;670730,5;639060,4;627295,0;645600,5;639199,44
2012-11-09;631878,94;718760,4;638933,0;631878,94;642930,2;659024,06
2012-11-16;618268,8;712012,0;612143,5;618268,8;608027,1;644780,75
2012-11-23;591008,0;669153,3;840862,0;591008,0;1024840,8;743085,44
2012-11-30;571790,1;637766,1;623339,2;571790,1;664693,9;631589,6
2012-12-07;634658,56;616587,0;768017,2;634658,56;849473,25;690094,4
2012-12-14;634153,3;601565,94;846057,6;634153,3;976304,2;725120,75
2012-12-21;629232,3;572923,9;1083927,1;629232,3;1372663,4;827283,06
2012-11-02;337208,78;379401,9;343533,4;337208,78;355488,03;348331,2
2012-11-09;346479,88;403625,62;350347,84;346479,88;357039,38;358489,97
2012-11-16;345460,62;421889,6;342038,06;345460,62;334917,03;362981,62
2012-11-23;338610,47;378480,3;481761,16;338610,47;771928,3;473402,66
2012-11-30;334547,12;354671,97;364707,84;334547,12;426730,1;371860,6
2012-12-07;344064,66;365410,62;416361,78;344064,66;559565,6;420266,16
2012-12-14;336260,7;305019,34;448623,25;336260,7;678530,44;429659,53
2012-12-21;338381,2;305534,47;582901,6;338381,2;1082392,8;551871,0
2012-11-02;779819,5;818257,3;794445,6;779819,5;797987,0;787133,8
2012-11-09;784321,75;851672,06;793077,56;784321,75;794897,06;798228,44
2012-11-16;783994,8;822947,1;776227,56;783994,8;772727,1;778772,3
2012-11-23;788518,7;780164,9;1121872,2;788518,7;1222208,9;921429,56
2012-11-30;785661,75;680967,7;856492,1;785661,75;876366,44;765840,1
2012-12-07;786034,06;658909,6;951200,7;786034,06;1000056,44;800683,3
2012-12-14;785831,25;623588,56;1048419,25;785831,25;1127318,2;834830,0
2012-12-21;786047,25;618709,7;1354059,4;786047,25;1530270,4;976791,0
2012-11-02;320545,47;367261,62;326557,56;320545,47;338833,84;332320,7
2012-11-09;319393,22;369433,53;322958,78;319393,22;329752,47;325179,22
2012-11-16;311419,6;372288,8;308334,28;311419,6;300470,72;317823,06
2012-11-23;317497,1;324329,6;451721,9;317497,1;751231,6;454296,0
2012-11-30;318385,7;297744,88;347089,38;318385,7;410169,44;339711,62
2012-12-07;311113,94;287638,8;376487,22;311113,94;526429,9;375474,03
2012-12-14;309712,6;288856,3;413204,03;309712,6;652949,8;425887,78
2012-12-21;319907,56;284778,62;551078,6;319907,56;1065604,2;569339,06
2012-11-02;1548271,4;1668430,6;1577310,4;1548271,4;1567476,0;1595963,8
2012-11-09;1559730,4;1708728,2;1577142,6;1559730,4;1571323,0;1613659,5
2012-11-16;1557631,5;1744896,8;1542199,6;1557631,5;1548239,1;1625564,2
