,Date,key_Store_Dept,Predictions,p_20,p_80
181,2012-12-07,10_30,7310.1255,1639.4977,12305.711
182,2012-12-14,10_30,6463.0977,1016.9371,10492.656
183,2012-12-21,10_30,6461.9336,2515.835,10168.773
184,2012-11-02,10_31,4383.331,2196.4277,6562.1997
185,2012-11-09,10_31,4573.369,1319.0116,7337.538
186,2012-11-16,10_31,3486.5615,490.29172,6268.998
187,2012-11-23,10_31,4790.9976,740.68835,5814.1523
188,2012-11-30,10_31,3553.2007,999.5383,5212.23
189,2012-12-07,10_31,3465.0403,1160.2021,5772.5425
190,2012-12-14,10_31,3460.4094,1345.029,5714.1377
191,2012-12-21,10_31,3302.8684,1766.5493,5326.1973
192,2012-11-02,10_32,21119.848,14827.522,29379.104
193,2012-11-09,10_32,23010.68,12891.314,32978.74
194,2012-11-16,10_32,19424.45,5508.9473,29383.375
195,2012-11-23,10_32,15801.746,4585.0693,29338.793
196,2012-11-30,10_32,17776.477,5842.3066,30231.152
197,2012-12-07,10_32,17151.938,6118.359,25116.701
198,2012-12-14,10_32,14632.741,8589.316,21070.074
199,2012-12-21,10_32,15441.232,8646.053,20707.17
200,2012-11-02,10_33,15294.793,9441.695,22347.281
201,2012-11-09,10_33,15664.05,4896.361,24648.438
202,2012-11-16,10_33,15368.398,4409.9033,25051.648
203,2012-11-23,10_33,11780.688,248.74368,20259.877
204,2012-11-30,10_33,8891.307,1496.7845,15416.355
205,2012-12-07,10_33,7681.227,1527.8878,13218.069
206,2012-12-14,10_33,7375.8276,1400.4652,11995.814
207,2012-12-21,10_33,6987.1323,2396.3347,11467.825
208,2012-11-02,10_34,41938.34,28560.863,58102.14
209,2012-11-09,10_34,37523.863,23656.271,59302.766
210,2012-11-16,10_34,36761.625,14563.216,56967.695
211,2012-11-23,10_34,39583.33,15565.87,56888.82
212,2012-11-30,10_34,34897.0,13735.953,55002.758
213,2012-12-07,10_34,33913.35,17621.5,48453.34
214,2012-12-14,10_34,27863.447,15370.86,46058.555
215,2012-12-21,10_34,30633.4,17673.973,45131.625
216,2012-11-02,10_35,7905.15,4120.8994,11314.498
217,2012-11-09,10_35,8103.587,3904.783,11694.092
218,2012-11-16,10_35,7527.842,2851.6182,11885.468
219,2012-11-23,10_35,7809.605,1919.7726,12361.147
220,2012-11-30,10_35,6442.7793,2175.3765,9726.28
221,2012-12-07,10_35,7829.0938,2024.9164,8356.0205
222,2012-12-14,10_35,6233.6133,2826.6501,8588.712
223,2012-12-21,10_35,5670.8213,2612.6487,7614.8823
224,2012-11-02,10_36,1244.075,587.49744,1902.6077
225,2012-11-09,10_36,1080.5468,140.62935,1892.2229
226,2012-11-16,10_36,1062.1112,0.0,1785.5354
227,2012-11-23,10_36,862.7463,0.0,1495.6598
228,2012-11-30,10_36,543.664,0.0,1111.1526
229,2012-12-07,10_36,627.2747,32.295826,997.3907
230,2012-12-14,10_36,611.114,5.099809,1011.37805
231,2012-12-21,10_36,514.45166,0.0,810.4943
232,2012-11-02,10_37,4148.2627,1938.9028,6799.989
233,2012-11-09,10_37,5172.512,1493.8699,7158.2925
234,2012-11-16,10_37,3210.9119,961.3636,5745.492
235,2012-11-23,10_37,3095.95,1063.8116,5605.179
236,2012-11-30,10_37,3804.8218,870.9147,7120.0024
237,2012-12-07,10_37,4255.432,494.22665,5489.524
238,2012-12-14,10_37,3722.919,683.2204,5606.185
239,2012-12-21,10_37,3302.972,835.14154,5051.039
240,2012-11-02,10_38,86842.1,65638.84,115769.69
241,2012-11-09,10_38,98899.52,68445.56,129253.19
242,2012-11-16,10_38,107563.51,63689.25,145119.89
243,2012-11-23,10_38,107668.38,66356.67,146551.98
244,2012-11-30,10_38,92450.99,46469.324,147456.6
245,2012-12-07,10_38,89964.8,48162.105,132880.27
246,2012-12-14,10_38,77623.09,33035.355,111370.38
247,2012-12-21,10_38,78948.7,45727.746,119631.36
248,2012-11-02,10_4,50500.7,34086.78,66531.52
249,2012-11-09,10_4,57326.645,39263.742,73047.336
250,2012-11-16,10_4,57014.39,34716.25,79058.93
251,2012-11-23,10_4,53118.934,30261.2,73955.6
252,2012-11-30,10_4,52919.047,27860.191,75877.484
253,2012-12-07,10_4,53535.785,26680.252,71454.84
254,2012-12-14,10_4,52113.805,28213.459,68638.08
255,2012-12-21,10_4,45106.06,29626.074,59907.4
256,2012-11-02,10_40,113912.0,81038.305,128910.82
257,2012-11-09,10_40,110698.89,76639.97,144876.14
258,2012-11-16,10_40,127369.57,70327.49,172582.48
259,2012-11-23,10_40,125825.4,61715.57,169504.56
260,2012-11-30,10_40,107512.04,54258.055,160127.75
261,2012-12-07,10_40,112453.55,50283.234,155773.22
262,2012-12-14,10_40,102355.8,54622.926,139182.0
263,2012-12-21,10_40,99823.67,57185.63,129502.29
264,2012-11-02,10_41,24171.75,13619.464,30320.598
265,2012-11-09,10_41,21320.275,8513.587,29000.152
266,2012-11-16,10_41,22193.53,8684.297,37270.598
267,2012-11-23,10_41,19736.63,7138.152,32526.871
268,2012-11-30,10_41,18936.275,7594.5825,33233.797
269,2012-12-07,10_41,18519.22,9010.623,25478.416
270,2012-12-14,10_41,17743.207,8806.505,25404.129
271,2012-12-21,10_41,18763.186,9849.422,24991.45
272,2012-11-02,10_42,12923.848,6079.0244,18795.348
273,2012-11-09,10_42,10626.313,7131.838,19577.97
274,2012-11-16,10_42,12222.526,2453.7717,20708.19
275,2012-11-23,10_42,8754.758,2977.3093,15432.206
276,2012-11-30,10_42,9344.755,3419.0566,15679.478
277,2012-12-07,10_42,9110.751,4120.9897,14442.91
278,2012-12-14,10_42,10104.062,5306.2207,15164.268
279,2012-12-21,10_42,9397.283,6277.4175,13675.934
280,2012-11-02,10_44,12464.232,6765.8735,18267.705
281,2012-11-09,10_44,12447.414,4492.4067,20410.459
282,2012-11-16,10_44,8597.418,2596.9429,14444.579
283,2012-11-23,10_44,8647.418,1733.6174,15110.791
284,2012-11-30,10_44,6384.237,1568.3899,12279.189
285,2012-12-07,10_44,7990.596,3194.2146,12393.718
286,2012-12-14,10_44,7317.1045,2119.7944,11630.694
287,2012-12-21,10_44,7604.0225,3263.1912,10445.481
288,2012-11-02,10_45,0.0,0.0,0.1636507
289,2012-11-09,10_45,0.0,0.0,0.029486112
290,2012-11-16,10_45,0.0,0.0,0.33232403
291,2012-11-23,10_45,0.0,0.0,0.26962486
292,2012-11-30,10_45,0.0,0.0,0.21483879
293,2012-12-07,10_45,0.0,0.0,0.27562177
294,2012-12-14,10_45,0.0,0.0,0.31847182
295,2012-12-21,10_45,0.0,0.0,0.51033103
296,2012-11-02,10_46,53762.41,40834.016,67498.35
297,2012-11-09,10_46,57567.52,35563.49,76081.39
298,2012-11-16,10_46,51505.625,24010.916,74995.12
299,2012-11-23,10_46,48329.95,20921.139,71868.61
300,2012-11-30,10_46,41107.96,19020.492,63098.977
301,2012-12-07,10_46,48479.37,23420.797,72828.836
302,2012-12-14,10_46,43828.87,23172.22,68120.96
303,2012-12-21,10_46,44269.785,25583.816,62564.543
304,2012-11-02,10_47,0.0,0.0,0.61118066
305,2012-11-09,10_47,0.6162242,0.0,2.4468062
306,2012-11-16,10_47,0.56964666,0.0,2.3208435
307,2012-11-23,10_47,0.0,0.0,1.4398171
308,2012-11-30,10_47,0.0,0.0,2.2824855
309,2012-12-07,10_47,0.0,0.0,1.6738477
310,2012-12-14,10_47,0.0,0.0,1.8666216
311,2012-12-21,10_47,0.10148992,0.0,2.4260573
312,2012-11-02,10_48,4599.383,1648.491,6401.8716
313,2012-11-09,10_48,3775.09,1121.545,6255.4185
314,2012-11-16,10_48,2593.3206,242.26833,6161.7695
315,2012-11-23,10_48,2740.345,94.79154,5550.6724
316,2012-11-30,10_48,2473.1978,0.0,4224.172
317,2012-12-07,10_48,2664.3748,553.7201,4922.052
318,2012-12-14,10_48,2961.1897,380.35608,4846.1665
319,2012-12-21,10_48,2806.0212,529.7134,4834.9497
320,2012-11-02,10_49,27604.086,16643.709,36664.883
321,2012-11-09,10_49,20299.312,12013.402,38390.16
322,2012-11-16,10_49,24679.443,8007.6245,38783.926
323,2012-11-23,10_49,19556.895,3078.2861,32170.826
324,2012-11-30,10_49,14734.054,466.1508,30978.44
325,2012-12-07,10_49,17406.857,1606.6721,29451.426
326,2012-12-14,10_49,13877.9,2311.1587,21573.006
327,2012-12-21,10_49,13821.66,4058.4988,23389.514
328,2012-11-02,10_5,55454.906,40233.918,68706.97
329,2012-11-09,10_5,60074.59,34649.14,80461.414
330,2012-11-16,10_5,70082.66,32454.393,88494.26
331,2012-11-23,10_5,61745.875,25363.96,97027.53
332,2012-11-30,10_5,58144.195,19310.012,80229.7
333,2012-12-07,10_5,55619.516,26247.145,78205.22
334,2012-12-14,10_5,47887.066,22049.148,65932.414
335,2012-12-21,10_5,46492.715,28435.879,60459.652
336,2012-11-02,10_50,4466.342,2710.0474,6920.6934
337,2012-11-09,10_50,3909.608,2002.033,6594.8467
338,2012-11-16,10_50,4407.5522,1760.0555,7344.9854
339,2012-11-23,10_50,4231.121,1154.8768,6911.1704
340,2012-11-30,10_50,3463.4878,1437.9366,5462.8013
341,2012-12-07,10_50,3731.194,1568.7888,5478.441
342,2012-12-14,10_50,3627.4082,1133.0073,5645.6465
343,2012-12-21,10_50,3468.4116,1623.0204,5413.67
344,2012-11-02,10_51,1762.5409,658.6756,3192.8828
345,2012-11-09,10_51,2619.8635,1428.8397,3976.027
346,2012-11-16,10_51,3607.7039,1900.7201,5464.9604
347,2012-11-23,10_51,3980.5918,2160.2,6094.2524
348,2012-11-30,10_51,4914.341,2988.3171,7080.1416
349,2012-12-07,10_51,6048.9077,3484.8086,8661.825
350,2012-12-14,10_51,7331.4014,4647.453,10344.74
351,2012-12-21,10_51,8677.822,4918.374,12013.213
352,2012-11-02,10_52,5366.3096,2644.6907,7515.1963
353,2012-11-09,10_52,4296.693,1624.6527,7430.999
354,2012-11-16,10_52,4448.4023,1315.4714,7708.7715
355,2012-11-23,10_52,4049.3474,1051.5872,6439.563
356,2012-11-30,10_52,2766.4065,622.36676,5020.344
357,2012-12-07,10_52,2997.91,935.4831,5426.4414
358,2012-12-14,10_52,3065.056,1352.7836,5627.768
359,2012-12-21,10_52,3101.5671,1191.2839,5227.5454
360,2012-11-02,10_54,53.360786,18.304373,96.48224
361,2012-11-09,10_54,46.644466,6.7581835,94.768684
362,2012-11-16,10_54,44.458637,3.475776,78.8861
363,2012-11-23,10_54,24.59183,2.0113304,69.83033
364,2012-11-30,10_54,22.342215,0.0,62.517498
365,2012-12-07,10_54,22.776688,0.0,57.337082
366,2012-12-14,10_54,18.776558,0.0,52.751057
367,2012-12-21,10_54,16.849346,0.0,48.47652
368,2012-11-02,10_55,19745.096,11091.772,25809.88
369,2012-11-09,10_55,20675.793,9262.849,28029.379
370,2012-11-16,10_55,16772.23,3816.6562,28899.209
371,2012-11-23,10_55,13302.535,3507.7717,27193.512
372,2012-11-30,10_55,15459.343,4086.9521,21853.262
373,2012-12-07,10_55,13334.943,4247.3433,21092.494
374,2012-12-14,10_55,10939.473,4768.5864,19039.334
375,2012-12-21,10_55,12169.445,6477.3936,16849.293
376,2012-11-02,10_56,863.40405,288.18985,1414.9175
377,2012-11-09,10_56,770.9026,298.8645,1402.4315
378,2012-11-16,10_56,1007.02594,203.81451,1421.3666
379,2012-11-23,10_56,668.3613,88.19545,1126.5056
380,2012-11-30,10_56,937.76196,182.66693,1532.5922
381,2012-12-07,10_56,802.4736,170.74876,1129.6368
382,2012-12-14,10_56,697.16815,308.3936,1187.2046
383,2012-12-21,10_56,786.8931,283.6197,1149.3823
384,2012-11-02,10_58,4440.6157,1682.7595,6482.0
385,2012-11-09,10_58,4465.371,1227.5045,7264.7075
386,2012-11-16,10_58,3963.9897,1433.4633,7339.0444
387,2012-11-23,10_58,3564.2354,1233.7502,5342.5444
388,2012-11-30,10_58,3678.4126,1430.6382,4842.0913
389,2012-12-07,10_58,3415.0657,1148.5198,5558.9126
390,2012-12-14,10_58,3722.5974,1825.0931,5320.7856
391,2012-12-21,10_58,3164.5132,1561.0767,5134.674
392,2012-11-02,10_59,293.59445,104.681274,411.20837
393,2012-11-09,10_59,240.6982,91.235016,426.42676
394,2012-11-16,10_59,250.9742,53.88546,376.46732
395,2012-11-23,10_59,218.66432,63.245655,419.89056
396,2012-11-30,10_59,79.41151,9.861613,331.4659
397,2012-12-07,10_59,182.48633,46.455727,317.2891
398,2012-12-14,10_59,179.12811,64.49585,311.613
399,2012-12-21,10_59,119.31558,0.005648422,279.27805
400,2012-11-02,10_6,8528.338,5470.4653,11261.62
401,2012-11-09,10_6,8914.473,2836.9426,13489.329
402,2012-11-16,10_6,7511.493,1282.8352,12014.717
403,2012-11-23,10_6,6350.27,603.321,11724.059
404,2012-11-30,10_6,4375.3384,1276.0569,9455.533
405,2012-12-07,10_6,4375.937,1122.2532,8555.746
406,2012-12-14,10_6,4382.196,880.63617,8031.5034
407,2012-12-21,10_6,4531.176,1235.2004,8265.59
408,2012-11-02,10_60,580.7381,233.63002,837.18
409,2012-11-09,10_60,541.9348,116.81497,964.0818
410,2012-11-16,10_60,582.18866,106.806274,906.0742
411,2012-11-23,10_60,450.4134,94.29846,834.00586
412,2012-11-30,10_60,507.50848,83.21698,855.4006
413,2012-12-07,10_60,482.10815,94.901344,749.5497
414,2012-12-14,10_60,444.42072,53.97465,708.58386
415,2012-12-21,10_60,319.4432,18.429193,585.39825
416,2012-11-02,10_67,14097.527,7686.949,21824.133
417,2012-11-09,10_67,20785.932,7665.051,23659.203
418,2012-11-16,10_67,15070.131,4431.502,22654.602
419,2012-11-23,10_67,12637.456,3411.2197,20534.273
420,2012-11-30,10_67,12358.789,3198.5637,21749.148
421,2012-12-07,10_67,9602.044,1912.918,16431.38
422,2012-12-14,10_67,9144.441,3252.8555,13281.153
423,2012-12-21,10_67,10289.615,3847.3308,15208.945
424,2012-11-02,10_7,63065.875,42551.098,83214.98
425,2012-11-09,10_7,65716.08,34549.293,98486.55
426,2012-11-16,10_7,66411.72,31972.807,95547.0
427,2012-11-23,10_7,34101.004,20876.443,80800.67
428,2012-11-30,10_7,41201.555,11989.388,70558.805
429,2012-12-07,10_7,37208.1,12545.466,64628.52
430,2012-12-14,10_7,33521.14,13136.559,59680.54
431,2012-12-21,10_7,35285.945,15305.104,56420.293
432,2012-11-02,10_71,12515.715,8148.179,17831.455
433,2012-11-09,10_71,14494.952,7549.2397,20403.367
434,2012-11-16,10_71,12385.46,4101.78,21764.922
435,2012-11-23,10_71,13934.238,5007.9473,23340.666
436,2012-11-30,10_71,12152.08,5262.2236,19332.95
437,2012-12-07,10_71,12346.459,6804.3813,18187.176
438,2012-12-14,10_71,11548.869,5843.8203,17279.299
439,2012-12-21,10_71,12028.92,7738.7944,17182.922
440,2012-11-02,10_72,130578.54,102776.695,157537.25
441,2012-11-09,10_72,138738.98,92824.24,182442.19
442,2012-11-16,10_72,137540.33,80874.81,187002.52
443,2012-11-23,10_72,146680.47,90001.19,209306.47
444,2012-11-30,10_72,110686.91,61747.43,163988.44
445,2012-12-07,10_72,116296.4,70081.52,159921.08
446,2012-12-14,10_72,126904.41,69265.86,177115.94
447,2012-12-21,10_72,114273.04,67825.75,155448.0
448,2012-11-02,10_74,36285.37,23889.016,48195.617
449,2012-11-09,10_74,43025.797,25030.771,56114.61
450,2012-11-16,10_74,41741.15,23003.057,61573.438
451,2012-11-23,10_74,36500.82,16891.088,58188.387
452,2012-11-30,10_74,39040.324,11459.577,55921.418
453,2012-12-07,10_74,32962.848,13138.716,51491.016
454,2012-12-14,10_74,33595.895,18685.928,50996.41
455,2012-12-21,10_74,28569.203,16593.977,47096.062
456,2012-11-02,10_77,1081.4318,0.0,2441.9358
457,2012-11-09,10_77,2196.968,495.6523,3603.8147
458,2012-11-16,10_77,3297.478,1237.1919,5121.8022
459,2012-11-23,10_77,3832.5312,1707.4014,5800.312
460,2012-11-30,10_77,4785.845,2563.6301,7006.7305
461,2012-12-07,10_77,5841.676,2670.6506,8451.085
462,2012-12-14,10_77,6985.4995,3678.2903,9973.232
463,2012-12-21,10_77,7703.0996,4275.818,10583.593
464,2012-11-02,10_78,1745.5083,626.69073,2991.9604
465,2012-11-09,10_78,2727.0674,831.37036,4469.2495
466,2012-11-16,10_78,3574.9229,1928.4608,5194.1445
467,2012-11-23,10_78,4342.2017,2310.479,6191.434
468,2012-11-30,10_78,5134.8525,2801.3342,7629.1357
469,2012-12-07,10_78,6357.47,3251.1914,8905.1875
470,2012-12-14,10_78,7648.476,4233.2373,10327.9
471,2012-12-21,10_78,8983.684,4603.3423,12559.329
472,2012-11-02,10_79,38348.41,27443.604,49862.344
473,2012-11-09,10_79,42011.895,27503.287,55854.832
474,2012-11-16,10_79,45061.816,25219.94,56489.65
475,2012-11-23,10_79,37912.54,19528.574,58242.336
476,2012-11-30,10_79,37541.477,20543.996,49185.65
477,2012-12-07,10_79,41957.96,20498.324,47034.566
478,2012-12-14,10_79,32399.818,17831.922,47001.594
479,2012-12-21,10_79,31955.408,19609.256,45681.47
480,2012-11-02,10_8,104776.43,77060.664,130268.0
481,2012-11-09,10_8,112706.28,65664.85,139251.4
482,2012-11-16,10_8,110026.71,59134.93,140905.17
483,2012-11-23,10_8,106799.66,52494.67,146041.22
484,2012-11-30,10_8,99873.23,53738.316,141060.56
485,2012-12-07,10_8,99190.57,52949.246,124291.41
486,2012-12-14,10_8,88281.27,46195.03,120659.984
487,2012-12-21,10_8,91201.03,56295.547,116039.11
