,Date,key_Store_Dept,pred,p_20,p_80
47,2012-12-21,10_14,29208.28,17132.81,43537.12
48,2012-11-02,10_16,14944.53,12409.5,17759.307
49,2012-11-09,10_16,14981.457,11261.015,19229.467
50,2012-11-16,10_16,15737.365,10438.241,19917.465
51,2012-11-23,10_16,14967.411,9205.562,20771.043
52,2012-11-30,10_16,15009.215,8832.746,21079.467
53,2012-12-07,10_16,13949.124,9605.348,19630.344
54,2012-12-14,10_16,15180.955,9326.998,20859.932
55,2012-12-21,10_16,15876.978,8851.592,19671.459
56,2012-11-02,10_17,26301.295,21822.248,32224.037
57,2012-11-09,10_17,26438.877,19694.771,31132.402
58,2012-11-16,10_17,26133.32,16608.521,33158.23
59,2012-11-23,10_17,24108.188,16145.904,31175.758
60,2012-11-30,10_17,24450.443,14868.581,31383.062
61,2012-12-07,10_17,20452.234,13719.984,29889.152
62,2012-12-14,10_17,22292.766,12914.39,28355.84
63,2012-12-21,10_17,24182.312,14883.894,31217.662
64,2012-11-02,10_18,25126.26,14671.181,32346.889
65,2012-11-09,10_18,17710.22,6489.787,26411.6
66,2012-11-16,10_18,14886.992,2827.7458,25244.893
67,2012-11-23,10_18,15406.372,3755.7961,25517.152
68,2012-11-30,10_18,12839.153,3472.2864,19261.768
69,2012-12-07,10_18,9716.781,3452.7046,19126.959
70,2012-12-14,10_18,8824.497,1534.0438,16403.629
71,2012-12-21,10_18,7807.382,1742.7987,16028.496
72,2012-11-02,10_19,3669.856,2427.276,5115.606
73,2012-11-09,10_19,3425.595,1700.421,5104.2637
74,2012-11-16,10_19,2393.4563,1087.617,4914.8975
75,2012-11-23,10_19,2329.7932,808.78784,3917.852
76,2012-11-30,10_19,2670.4631,738.73737,3894.6565
77,2012-12-07,10_19,2189.9443,387.5402,3835.1023
78,2012-12-14,10_19,1618.692,400.72983,4144.0
79,2012-12-21,10_19,1971.9897,469.71243,4033.0903
80,2012-11-02,10_2,102763.0,87731.484,114745.77
81,2012-11-09,10_2,100294.8,82899.93,117374.22
82,2012-11-16,10_2,98525.76,74733.06,119714.8
83,2012-11-23,10_2,95842.99,73436.23,118895.28
84,2012-11-30,10_2,88078.97,64075.457,119941.15
85,2012-12-07,10_2,93016.01,63037.81,120210.71
86,2012-12-14,10_2,83590.07,63265.043,116741.234
87,2012-12-21,10_2,90379.36,63128.992,111918.27
88,2012-11-02,10_20,15106.714,12073.616,19408.83
89,2012-11-09,10_20,16382.954,10396.79,22767.902
90,2012-11-16,10_20,15036.905,9592.545,21903.26
91,2012-11-23,10_20,15190.384,8517.145,21316.824
92,2012-11-30,10_20,14446.457,6808.217,20509.498
93,2012-12-07,10_20,14609.911,5670.9966,21602.82
94,2012-12-14,10_20,13317.043,7409.662,20122.334
95,2012-12-21,10_20,13066.106,4616.428,18193.3
96,2012-11-02,10_21,8770.062,7057.718,10525.728
97,2012-11-09,10_21,8347.463,5524.787,10359.431
98,2012-11-16,10_21,8896.367,5414.7075,11182.264
99,2012-11-23,10_21,8306.408,5058.303,10296.105
100,2012-11-30,10_21,7953.1924,4632.56,10075.942
101,2012-12-07,10_21,8794.438,4719.028,10752.208
102,2012-12-14,10_21,8311.271,4066.7515,12243.928
103,2012-12-21,10_21,8605.108,3172.871,11964.405
104,2012-11-02,10_22,21168.78,16882.34,26826.535
105,2012-11-09,10_22,22089.695,17086.455,29765.05
106,2012-11-16,10_22,22732.182,15302.951,31849.676
107,2012-11-23,10_22,22639.707,14720.379,30540.197
108,2012-11-30,10_22,21190.9,14217.679,27979.701
109,2012-12-07,10_22,21906.678,14814.143,29966.092
110,2012-12-14,10_22,21984.723,12776.45,30354.4
111,2012-12-21,10_22,19693.244,9363.234,29460.533
112,2012-11-02,10_23,61824.85,50807.96,72575.32
113,2012-11-09,10_23,59647.176,47020.1,72296.28
114,2012-11-16,10_23,63206.055,41537.83,78018.87
115,2012-11-23,10_23,57691.0,41788.707,81331.18
116,2012-11-30,10_23,43198.4,35724.332,71152.26
117,2012-12-07,10_23,51761.066,28298.656,71986.9
118,2012-12-14,10_23,52998.414,28227.598,64975.363
119,2012-12-21,10_23,51146.156,30269.434,61711.664
120,2012-11-02,10_24,14954.227,10236.683,18253.32
121,2012-11-09,10_24,15201.881,8121.799,20573.24
122,2012-11-16,10_24,13995.758,7555.9697,19305.828
123,2012-11-23,10_24,10318.153,5829.424,18911.959
124,2012-11-30,10_24,10251.835,4640.766,17088.545
125,2012-12-07,10_24,10445.4,4460.3716,15523.39
126,2012-12-14,10_24,8011.2017,2465.7578,14073.08
127,2012-12-21,10_24,8907.329,2752.1895,14946.838
128,2012-11-02,10_25,21405.324,16408.855,26896.037
129,2012-11-09,10_25,19679.111,13274.381,26385.883
130,2012-11-16,10_25,19321.227,12023.511,26053.156
131,2012-11-23,10_25,18730.287,10989.674,23661.84
132,2012-11-30,10_25,19968.303,10634.088,27228.887
133,2012-12-07,10_25,18689.07,9541.051,26129.389
134,2012-12-14,10_25,18534.8,9341.464,23649.87
135,2012-12-21,10_25,15839.4,8359.093,23185.3
136,2012-11-02,10_26,19333.178,14984.521,22946.662
137,2012-11-09,10_26,16841.324,11617.699,23307.352
138,2012-11-16,10_26,16331.567,10175.092,22255.99
139,2012-11-23,10_26,14949.197,7670.852,21492.758
140,2012-11-30,10_26,15829.124,7453.6636,21227.838
141,2012-12-07,10_26,18192.887,8900.375,22953.27
142,2012-12-14,10_26,18951.97,8853.415,24725.484
143,2012-12-21,10_26,14060.841,7152.226,21424.154
144,2012-11-02,10_27,4403.7905,3057.844,5760.407
145,2012-11-09,10_27,4545.0933,2623.806,6352.6177
146,2012-11-16,10_27,3964.3772,2337.4646,6342.5835
147,2012-11-23,10_27,4200.968,1755.6201,5769.183
148,2012-11-30,10_27,4465.005,1233.6755,6520.942
149,2012-12-07,10_27,4191.285,1250.7976,5758.3975
150,2012-12-14,10_27,2069.1824,955.897,5541.157
151,2012-12-21,10_27,3174.6003,693.98785,4702.414
152,2012-11-02,10_28,1456.2837,771.8485,2267.1602
153,2012-11-09,10_28,1509.9962,220.66501,2564.9775
154,2012-11-16,10_28,1054.4379,162.37843,2175.8418
155,2012-11-23,10_28,419.2899,0.0,2100.4062
156,2012-11-30,10_28,782.89026,0.0,1679.1746
157,2012-12-07,10_28,538.7294,0.0,1467.7506
158,2012-12-14,10_28,558.63916,0.0,1268.0557
159,2012-12-21,10_28,535.04834,0.0,1407.5995
160,2012-11-02,10_29,15365.563,13005.203,18056.674
161,2012-11-09,10_29,15463.53,11474.695,19548.672
162,2012-11-16,10_29,11449.653,7766.151,20082.482
163,2012-11-23,10_29,13057.464,7088.819,19919.312
164,2012-11-30,10_29,12845.187,6300.831,18837.926
165,2012-12-07,10_29,10133.028,5975.993,19344.125
166,2012-12-14,10_29,10870.405,4187.285,17518.35
167,2012-12-21,10_29,10245.496,4326.3037,17142.0
168,2012-11-02,10_3,20569.38,15536.939,25893.723
169,2012-11-09,10_3,20191.828,16134.272,26188.611
170,2012-11-16,10_3,20323.602,14241.521,25510.22
171,2012-11-23,10_3,18481.172,11502.493,25018.324
172,2012-11-30,10_3,17910.557,9843.067,24986.07
173,2012-12-07,10_3,17303.748,11040.556,23582.045
174,2012-12-14,10_3,17313.629,10223.315,24010.654
175,2012-12-21,10_3,18863.504,9660.269,26920.43
176,2012-11-02,10_30,9472.477,6983.1655,12687.176
177,2012-11-09,10_30,9696.747,6173.8027,13340.517
178,2012-11-16,10_30,8546.104,5009.9565,12310.517
179,2012-11-23,10_30,8770.459,4331.1655,12532.871
180,2012-11-30,10_30,8591.548,4188.0737,12421.734
181,2012-12-07,10_30,8214.856,4213.1943,10665.993
182,2012-12-14,10_30,7453.8145,4071.463,10473.399
183,2012-12-21,10_30,7065.0967,3269.37,12138.185
184,2012-11-02,10_31,4521.376,3213.076,5537.155
185,2012-11-09,10_31,4706.9043,2810.1882,6274.878
186,2012-11-16,10_31,4696.625,2546.2573,5817.43
187,2012-11-23,10_31,3951.925,2456.7605,5870.0674
188,2012-11-30,10_31,4312.216,2134.2273,6092.2935
189,2012-12-07,10_31,4571.1094,2004.058,6387.6855
190,2012-12-14,10_31,3778.953,1656.2896,5613.9023
191,2012-12-21,10_31,3669.972,1136.9594,5182.406
192,2012-11-02,10_32,19558.975,15327.867,23262.984
193,2012-11-09,10_32,20245.826,13905.56,25685.326
194,2012-11-16,10_32,21078.15,12555.31,29159.303
195,2012-11-23,10_32,19104.994,9830.883,25568.229
196,2012-11-30,10_32,16285.165,8025.4077,23426.947
197,2012-12-07,10_32,9128.851,8849.851,23852.314
198,2012-12-14,10_32,19379.676,8776.499,21734.207
199,2012-12-21,10_32,15823.062,7635.162,22044.533
200,2012-11-02,10_33,13421.037,9418.091,18255.934
201,2012-11-09,10_33,11756.348,7627.3345,16460.438
202,2012-11-16,10_33,12353.213,5940.7495,17733.863
203,2012-11-23,10_33,14692.847,6526.7124,20775.596
204,2012-11-30,10_33,12441.968,4319.2827,17307.91
205,2012-12-07,10_33,10932.425,5037.4863,16693.85
206,2012-12-14,10_33,14938.099,4922.503,15779.727
207,2012-12-21,10_33,10594.31,3824.0903,14629.295
208,2012-11-02,10_34,39717.816,32817.043,47747.63
209,2012-11-09,10_34,37679.637,26474.537,45652.004
210,2012-11-16,10_34,35945.652,24319.855,47207.227
211,2012-11-23,10_34,37167.81,22380.424,46003.42
212,2012-11-30,10_34,34755.047,21927.236,45932.293
213,2012-12-07,10_34,34953.105,20839.043,46347.82
214,2012-12-14,10_34,34230.7,19000.46,42420.824
215,2012-12-21,10_34,33589.996,19555.35,42312.45
216,2012-11-02,10_35,6243.884,5054.985,8462.623
217,2012-11-09,10_35,6666.2964,4596.7065,8885.876
218,2012-11-16,10_35,6022.1514,2910.8433,9387.276
219,2012-11-23,10_35,6399.9526,3588.4553,8511.099
220,2012-11-30,10_35,5961.9424,2341.945,7997.088
221,2012-12-07,10_35,5577.4326,2931.3816,8982.139
222,2012-12-14,10_35,6051.6924,2869.251,9002.775
223,2012-12-21,10_35,5886.574,2750.6375,8720.173
224,2012-11-02,10_36,1199.0908,737.6747,1629.6809
225,2012-11-09,10_36,1077.5679,545.6366,1709.8003
226,2012-11-16,10_36,1015.9746,91.70569,1662.4603
227,2012-11-23,10_36,772.72345,0.0,1588.4236
228,2012-11-30,10_36,264.35712,0.0,1172.0883
229,2012-12-07,10_36,544.48944,0.0,1297.6423
230,2012-12-14,10_36,395.89633,0.0,1121.552
231,2012-12-21,10_36,486.11682,0.0,937.2166
232,2012-11-02,10_37,3859.882,2993.9836,5230.6216
233,2012-11-09,10_37,4255.564,2206.8755,5910.8164
234,2012-11-16,10_37,4377.456,2069.889,6181.7417
235,2012-11-23,10_37,2950.275,1688.5048,6087.888
236,2012-11-30,10_37,3767.594,1448.7957,5743.962
237,2012-12-07,10_37,3681.1912,1507.4092,6006.0767
238,2012-12-14,10_37,3507.5002,1119.3651,5895.661
239,2012-12-21,10_37,3129.768,1632.8798,5634.4
240,2012-11-02,10_38,86697.74,71719.414,97753.08
241,2012-11-09,10_38,83753.73,68147.914,101572.6
242,2012-11-16,10_38,84147.44,58457.652,110072.71
243,2012-11-23,10_38,83118.22,56958.88,103857.67
244,2012-11-30,10_38,80878.53,52778.95,95281.734
245,2012-12-07,10_38,80905.19,48279.45,102780.65
246,2012-12-14,10_38,84321.93,52552.316,109435.85
247,2012-12-21,10_38,88054.78,51711.008,107659.625
248,2012-11-02,10_4,46766.227,39594.844,53963.38
249,2012-11-09,10_4,49599.61,37915.316,58343.098
250,2012-11-16,10_4,50428.754,36902.85,60361.21
251,2012-11-23,10_4,54172.87,37996.973,66737.49
252,2012-11-30,10_4,46611.566,31689.715,63731.492
253,2012-12-07,10_4,37724.395,25550.633,57273.18
254,2012-12-14,10_4,38188.78,24188.93,54089.055
255,2012-12-21,10_4,33953.215,16260.914,51691.047
256,2012-11-02,10_40,99133.71,84860.47,114234.695
257,2012-11-09,10_40,98242.07,73067.37,117159.66
258,2012-11-16,10_40,92116.26,64845.92,112779.05
259,2012-11-23,10_40,88638.77,64120.77,114270.42
260,2012-11-30,10_40,86649.95,60257.527,114501.805
261,2012-12-07,10_40,89068.5,60434.26,113033.72
262,2012-12-14,10_40,86611.74,52520.637,113357.375
263,2012-12-21,10_40,86015.83,57873.03,111724.4
264,2012-11-02,10_41,20641.895,16650.012,24004.053
265,2012-11-09,10_41,20695.055,15510.544,25995.902
266,2012-11-16,10_41,19236.215,12555.52,25633.37
267,2012-11-23,10_41,21213.936,13176.413,24376.344
268,2012-11-30,10_41,17516.078,9988.228,22573.32
269,2012-12-07,10_41,17861.797,9100.691,25132.83
270,2012-12-14,10_41,16460.324,8265.693,22332.465
271,2012-12-21,10_41,15221.637,8153.0967,23593.455
272,2012-11-02,10_42,13249.384,9793.936,15649.444
273,2012-11-09,10_42,13641.353,8645.097,16158.269
274,2012-11-16,10_42,12322.666,7529.5166,16201.961
275,2012-11-23,10_42,12352.347,7487.663,16701.598
276,2012-11-30,10_42,10734.801,5194.248,16456.713
277,2012-12-07,10_42,11424.429,5009.157,16852.562
278,2012-12-14,10_42,10542.486,5811.6694,15035.035
279,2012-12-21,10_42,9981.907,4479.7695,12623.838
280,2012-11-02,10_44,10482.908,7419.1567,13473.314
281,2012-11-09,10_44,10412.354,6756.8555,13812.696
282,2012-11-16,10_44,9717.389,6153.6177,14125.225
283,2012-11-23,10_44,10540.091,5858.6763,14442.8
284,2012-11-30,10_44,8887.671,4460.513,13207.061
285,2012-12-07,10_44,8460.088,4006.028,13006.027
286,2012-12-14,10_44,8216.371,4268.2437,13126.704
287,2012-12-21,10_44,7760.15,3898.6538,12619.547
288,2012-11-02,10_45,0.031004181,0.0,0.72557014
289,2012-11-09,10_45,0.20336483,0.0,1.1736577
290,2012-11-16,10_45,0.0,0.0,0.5246399
291,2012-11-23,10_45,0.04361893,0.0,0.7211692
292,2012-11-30,10_45,0.0,0.0,0.38389274
293,2012-12-07,10_45,0.0,0.0,0.79501647
294,2012-12-14,10_45,0.0,0.0,0.51392895
295,2012-12-21,10_45,0.0,0.0,0.47856703
296,2012-11-02,10_46,49859.754,42296.277,56410.113
297,2012-11-09,10_46,51600.305,39847.973,62367.023
298,2012-11-16,10_46,48840.164,37246.664,58827.22
299,2012-11-23,10_46,47035.453,33890.605,57122.77
300,2012-11-30,10_46,45984.535,32013.705,53945.1
301,2012-12-07,10_46,48950.76,27833.701,58969.61
302,2012-12-14,10_46,45642.58,27140.947,60929.91
303,2012-12-21,10_46,44546.125,24840.809,58185.977
304,2012-11-02,10_47,2.1754832,0.0,3.7712395
305,2012-11-09,10_47,0.59124106,0.0,2.1752753
306,2012-11-16,10_47,0.58709913,0.0,2.66991
307,2012-11-23,10_47,0.3314276,0.0,2.7056968
308,2012-11-30,10_47,0.0,0.0,3.7001278
309,2012-12-07,10_47,0.0,0.0,3.0305862
310,2012-12-14,10_47,0.0,0.0,2.7892704
311,2012-12-21,10_47,0.0,0.0,2.3230307
312,2012-11-02,10_48,4682.0435,3263.0337,6010.9224
313,2012-11-09,10_48,4475.7427,2672.8215,6220.6313
314,2012-11-16,10_48,4195.558,2703.3743,6204.7964
315,2012-11-23,10_48,3930.6218,1434.5458,6618.107
316,2012-11-30,10_48,3229.3132,1013.94604,5522.637
317,2012-12-07,10_48,3245.8357,1738.2063,5985.1157
318,2012-12-14,10_48,3251.8027,1126.378,5303.886
319,2012-12-21,10_48,3138.8206,1125.1157,5379.9126
320,2012-11-02,10_49,22534.318,17835.406,28008.688
321,2012-11-09,10_49,21704.207,16009.656,28350.176
322,2012-11-16,10_49,21715.477,12081.193,29186.844
323,2012-11-23,10_49,20742.88,10983.674,29036.623
324,2012-11-30,10_49,17302.043,9961.107,26004.361
325,2012-12-07,10_49,20104.338,10790.562,29422.27
326,2012-12-14,10_49,21138.01,10302.887,27247.58
327,2012-12-21,10_49,13430.589,8603.38,24238.068
328,2012-11-02,10_5,54530.72,43184.008,64427.316
329,2012-11-09,10_5,49660.727,36414.586,60426.72
330,2012-11-16,10_5,49077.727,36269.203,60839.215
331,2012-11-23,10_5,46377.406,29264.953,61558.99
332,2012-11-30,10_5,46267.78,28932.62,57877.227
333,2012-12-07,10_5,41857.72,23852.605,61074.973
334,2012-12-14,10_5,41988.934,26890.48,56887.684
335,2012-12-21,10_5,42540.184,24243.432,57397.344
336,2012-11-02,10_50,4580.903,3297.386,5948.2866
337,2012-11-09,10_50,4997.5234,3094.1516,6375.325
338,2012-11-16,10_50,3463.9143,1740.6912,5511.14
339,2012-11-23,10_50,3489.878,1305.5101,5752.6206
340,2012-11-30,10_50,4202.8447,1027.2493,5818.2764
341,2012-12-07,10_50,3720.3774,1076.0088,6240.355
342,2012-12-14,10_50,2871.7544,1266.7537,5419.404
343,2012-12-21,10_50,2560.7441,441.59442,4870.3125
344,2012-11-02,10_51,178.2498,0.0,898.76654
345,2012-11-09,10_51,433.5689,0.0,1098.474
346,2012-11-16,10_51,338.90848,0.0,1071.1843
347,2012-11-23,10_51,396.90234,0.0,1274.3843
348,2012-11-30,10_51,102.41974,0.0,945.5451
349,2012-12-07,10_51,224.87607,0.0,1303.0092
350,2012-12-14,10_51,72.402504,0.0,1010.38135
351,2012-12-21,10_51,126.25615,0.0,1295.0071
352,2012-11-02,10_52,4564.167,3241.4006,6229.913
353,2012-11-09,10_52,4782.9985,2846.5784,6432.372
354,2012-11-16,10_52,5757.2876,2381.0212,6740.5874
355,2012-11-23,10_52,5349.801,2179.2842,7558.4414
356,2012-11-30,10_52,4309.767,1197.9324,6558.0864
357,2012-12-07,10_52,4715.622,1452.6978,7370.747
358,2012-12-14,10_52,4221.6685,1636.496,6736.6357
359,2012-12-21,10_52,5386.7783,1750.9764,6819.7095
360,2012-11-02,10_54,95.38831,22.210735,110.69718
361,2012-11-09,10_54,54.79618,11.680205,101.50388
362,2012-11-16,10_54,36.03358,0.0,99.67304
363,2012-11-23,10_54,44.732765,0.0,88.830795
364,2012-11-30,10_54,16.540224,0.0,55.48828
365,2012-12-07,10_54,21.16729,0.0,57.579483
366,2012-12-14,10_54,30.257202,0.0,64.192665
367,2012-12-21,10_54,13.608269,0.0,53.309742
368,2012-11-02,10_55,16822.502,12383.516,20528.578
369,2012-11-09,10_55,16759.465,11371.99,21719.492
370,2012-11-16,10_55,15722.005,9308.332,22529.842
371,2012-11-23,10_55,15441.767,8562.207,22271.504
372,2012-11-30,10_55,14728.138,7679.0464,20701.783
373,2012-12-07,10_55,15754.398,8163.8535,22510.045
374,2012-12-14,10_55,15447.014,7365.7607,20169.87
375,2012-12-21,10_55,13005.133,6408.8857,17059.324
376,2012-11-02,10_56,947.68854,530.592,1342.9932
377,2012-11-09,10_56,1001.97327,467.9481,1410.3345
378,2012-11-16,10_56,900.45526,380.92157,1454.5277
379,2012-11-23,10_56,648.75214,283.70804,1354.8489
380,2012-11-30,10_56,604.9766,95.14014,1135.1853
381,2012-12-07,10_56,1724.7855,149.75336,1233.7545
382,2012-12-14,10_56,644.4981,85.68547,1069.585
383,2012-12-21,10_56,0.0,0.0,1269.1948
384,2012-11-02,10_58,4167.423,2730.387,5226.856
385,2012-11-09,10_58,4245.169,2856.3389,5991.244
386,2012-11-16,10_58,3990.0981,2127.4216,6312.391
387,2012-11-23,10_58,3913.7722,1465.6825,5820.169
388,2012-11-30,10_58,3200.5645,1847.2896,5052.0107
389,2012-12-07,10_58,3829.3896,1631.8776,6072.888
390,2012-12-14,10_58,3743.1472,1421.4604,5597.0195
391,2012-12-21,10_58,3105.241,1208.1356,5412.062
392,2012-11-02,10_59,289.6049,145.88545,461.07513
393,2012-11-09,10_59,358.90704,94.71469,505.69907
394,2012-11-16,10_59,307.28638,0.0,492.25287
395,2012-11-23,10_59,313.94983,27.650002,495.76776
396,2012-11-30,10_59,271.15454,0.32507992,464.6092
397,2012-12-07,10_59,232.38023,0.0,492.0572
398,2012-12-14,10_59,350.9757,0.0,385.86823
399,2012-12-21,10_59,281.3482,0.0,372.08316
400,2012-11-02,10_6,9007.402,6667.5864,10920.107
401,2012-11-09,10_6,7096.3765,3949.0364,10460.759
402,2012-11-16,10_6,7143.5723,3333.7664,11024.944
403,2012-11-23,10_6,7908.328,3189.1055,11376.882
404,2012-11-30,10_6,7248.496,2931.9768,10320.875
405,2012-12-07,10_6,7307.86,1977.2653,10715.84
406,2012-12-14,10_6,6617.879,1313.19,10143.558
407,2012-12-21,10_6,5560.103,1798.2869,9711.563
408,2012-11-02,10_60,529.4111,316.27658,754.5557
409,2012-11-09,10_60,520.1868,133.81198,901.1827
410,2012-11-16,10_60,447.67834,132.15224,776.0843
411,2012-11-23,10_60,328.68063,72.44483,718.6503
412,2012-11-30,10_60,416.07312,54.971626,718.38336
413,2012-12-07,10_60,351.79382,19.30387,707.0828
414,2012-12-14,10_60,294.93222,37.24828,597.0888
415,2012-12-21,10_60,372.8764,22.256783,557.49365
416,2012-11-02,10_67,11344.729,8576.037,14740.241
417,2012-11-09,10_67,11033.693,7437.4756,14824.826
418,2012-11-16,10_67,11904.504,6186.0415,16580.854
419,2012-11-23,10_67,11706.394,5856.907,17063.613
420,2012-11-30,10_67,9433.128,4713.0923,14218.246
421,2012-12-07,10_67,7713.043,4095.0425,13512.437
422,2012-12-14,10_67,9145.154,3505.474,13481.151
423,2012-12-21,10_67,7117.1255,2496.5186,12062.37
424,2012-11-02,10_7,55839.68,45752.06,66565.27
425,2012-11-09,10_7,55518.28,38992.53,65003.2
426,2012-11-16,10_7,54526.434,38955.684,68314.06
427,2012-11-23,10_7,48316.93,28883.047,67421.75
428,2012-11-30,10_7,51128.746,36204.26,67491.195
429,2012-12-07,10_7,52556.754,29922.766,62293.76
430,2012-12-14,10_7,41229.3,29653.012,58442.52
431,2012-12-21,10_7,44886.5,26656.537,64292.152
432,2012-11-02,10_71,13096.179,11037.968,15517.8
433,2012-11-09,10_71,12660.135,9834.614,16135.955
434,2012-11-16,10_71,12497.434,7840.518,16123.501
435,2012-11-23,10_71,12068.055,6844.9414,16420.43
436,2012-11-30,10_71,11521.613,6513.697,16171.506
437,2012-12-07,10_71,11614.336,6343.3105,17476.164
438,2012-12-14,10_71,11959.941,5707.164,15880.471
439,2012-12-21,10_71,11833.706,5934.9033,16028.417
440,2012-11-02,10_72,121362.25,102543.59,138818.78
441,2012-11-09,10_72,103735.32,88611.56,138738.05
442,2012-11-16,10_72,116046.96,81796.445,145568.45
443,2012-11-23,10_72,112060.3,83356.664,142030.25
444,2012-11-30,10_72,110863.76,78716.375,135041.92
445,2012-12-07,10_72,114047.2,78622.86,150407.08
446,2012-12-14,10_72,109266.46,75921.92,148751.75
447,2012-12-21,10_72,108922.5,72878.13,145311.84
448,2012-11-02,10_74,35274.9,27930.66,43253.242
449,2012-11-09,10_74,35547.24,26215.121,43391.492
450,2012-11-16,10_74,37236.742,25486.182,45441.637
451,2012-11-23,10_74,35004.13,22699.27,45523.773
452,2012-11-30,10_74,32428.04,20462.031,43185.766
453,2012-12-07,10_74,32401.555,20218.748,44495.418
454,2012-12-14,10_74,33165.504,19435.596,46570.586
455,2012-12-21,10_74,32720.846,19377.46,43942.316
456,2012-11-02,10_77,197.16885,0.0,684.0222
457,2012-11-09,10_77,194.42601,0.0,1035.1047
458,2012-11-16,10_77,224.38094,0.0,1002.5878
459,2012-11-23,10_77,221.17014,0.0,1137.2595
460,2012-11-30,10_77,9.574678,0.0,778.0527
461,2012-12-07,10_77,128.42935,0.0,866.37274
462,2012-12-14,10_77,117.31439,0.0,1297.1648
463,2012-12-21,10_77,0.0,0.0,917.9569
464,2012-11-02,10_78,295.6074,0.0,797.5901
465,2012-11-09,10_78,297.41135,0.0,759.0799
466,2012-11-16,10_78,316.7061,0.0,875.22424
467,2012-11-23,10_78,125.3657,0.0,650.46466
468,2012-11-30,10_78,38.095325,0.0,823.90576
469,2012-12-07,10_78,56.111084,0.0,654.77545
470,2012-12-14,10_78,0.0,0.0,839.40125
471,2012-12-21,10_78,0.0,0.0,489.0753
472,2012-11-02,10_79,35815.03,29342.072,42077.12
473,2012-11-09,10_79,35740.92,27567.402,45475.88
474,2012-11-16,10_79,35329.7,21923.432,47930.62
475,2012-11-23,10_79,35045.69,20374.393,44169.58
476,2012-11-30,10_79,34668.414,19371.738,45697.137
477,2012-12-07,10_79,26372.973,18375.229,42608.184
478,2012-12-14,10_79,28718.32,15596.744,41048.633
479,2012-12-21,10_79,26920.688,14842.2705,41274.332
480,2012-11-02,10_8,87090.53,76030.51,102668.22
481,2012-11-09,10_8,88219.46,69793.44,106280.96
482,2012-11-16,10_8,78458.47,59795.38,104816.29
483,2012-11-23,10_8,91284.25,55246.19,103848.55
484,2012-11-30,10_8,82890.58,53879.85,101181.44
485,2012-12-07,10_8,79430.69,54925.254,102872.73
486,2012-12-14,10_8,77605.1,52226.203,103888.58
487,2012-12-21,10_8,76976.19,46393.035,106700.586
488,2012-11-02,10_80,266.77612,132.20628,406.54507
489,2012-11-09,10_80,336.7785,143.03827,483.20367
490,2012-11-16,10_80,282.8531,59.245697,486.59723
